Enrollment_ID,Student_ID,Enrollment_Date,Course_Category,Amount_Paid,Payment_Mode,Completion_Rate_%,Total_Learning_Minutes,Certification_Earned,Is_Returning_Student
1,221958,2022-08-28,Design,7958,EMI,69.82,1108,0,0
2,771155,2022-05-16,Programming,17735,Credit Card,73.08,1723,0,0
3,231932,2022-07-16,Data Analytics,19255,Debit Card,50.8,1827,0,0
4,465838,2021-10-12,Programming,15833,UPI,82.89,1743,1,1
5,359178,2021-08-11,Programming,19094,Net Banking,53.88,700,0,0
6,744167,2022-08-16,Programming,29698,UPI,58.07,1277,0,0
7,210268,2021-09-23,Finance,18363,Credit Card,77.87,291,1,1
8,832180,2022-10-29,Design,10090,Net Banking,84.99,1111,1,1
9,154886,2022-01-08,Marketing,8150,Net Banking,83.84,2287,1,0
10,237337,2021-08-21,Finance,13103,Net Banking,44.99,2481,0,0
11,621430,2023-04-08,Design,5883,UPI,85.27,687,1,1
12,187498,2021-08-24,Marketing,8677,EMI,79.76,760,1,0
13,999159,2022-11-02,Finance,17994,UPI,76.31,2329,1,1
14,275203,2023-04-08,Finance,12238,EMI,98.01,2028,1,0
15,291335,2023-02-02,Data Analytics,11975,Debit Card,60.81,1238,0,0
16,378167,2021-11-10,Finance,7006,Net Banking,80.99,1692,1,0
17,141090,2023-03-24,Programming,14400,UPI,74.39,2052,0,0
18,429365,2022-01-15,Finance,9089,Credit Card,63.28,2126,0,1
19,164820,2023-03-05,Programming,13191,Credit Card,87.29,1338,1,1
20,887201,2022-09-06,Design,10623,EMI,64.19,2156,0,1
21,421879,2022-07-17,Design,7293,EMI,73.51,1775,0,1
22,818315,2022-02-24,Programming,16391,Net Banking,73.64,789,0,0
23,427069,2021-02-21,Data Analytics,12425,EMI,70.68,600,0,0
24,876997,2022-12-22,Data Analytics,19766,Credit Card,67.44,2441,0,0
25,299041,2023-03-30,Design,17232,UPI,50.07,557,0,1
26,891743,2022-10-05,Finance,10224,UPI,54.45,1080,0,0
27,203355,2022-05-24,Design,6240,EMI,47.41,811,0,0
28,335796,2023-02-21,Design,17021,EMI,83.41,2302,1,0
29,314176,2021-07-24,Programming,23607,Credit Card,84.66,1565,1,0
30,284779,2023-01-01,Data Analytics,23759,Debit Card,78.31,1903,1,0
31,447449,2021-09-14,Programming,16517,UPI,95.06,705,1,1
32,521909,2021-07-04,Design,8493,EMI,55.9,1160,0,0
33,358795,2021-05-25,Marketing,9590,Net Banking,89.26,468,1,0
34,586232,2022-11-21,Finance,15908,EMI,51.15,2335,0,0
35,600186,2021-01-14,Design,13455,EMI,44.07,2080,0,1
36,256730,2021-09-03,Programming,15944,UPI,40.01,1586,0,0
37,970910,2021-07-06,Marketing,6317,EMI,74.84,675,0,0
38,484681,2021-12-03,Marketing,8207,Net Banking,86.72,2315,1,0
39,249503,2021-09-16,Design,15716,Net Banking,89.38,1374,1,0
40,754811,2023-05-16,Data Analytics,8640,Net Banking,68.24,952,0,0
41,627035,2021-02-09,Marketing,6858,Credit Card,43.52,879,0,1
42,748143,2022-08-24,Finance,11243,Net Banking,42.15,1540,0,0
43,552366,2022-09-29,Programming,18662,UPI,95.04,2264,1,1
44,165725,2022-02-22,Programming,24437,Debit Card,45.58,741,0,1
45,229981,2021-12-17,Programming,17243,EMI,87.08,583,1,0
46,184654,2021-01-09,Design,17545,EMI,44.17,547,0,0
